aar,aa,Afar
abk,ab,Abkhazian
ace,,Achinese
ach,,Acoli
ada,,Adangme
ady,,Adyghe; Adygei
afa,,Afro-Asiatic languages
afh,,Afrihili
afr,af,Afrikaans
ain,,Ainu
aka,ak,Akan
akk,,Akkadian
alb (B),sq,Albanian
sqi (T),,
ale,,Aleut
alg,,Algonquian languages
alt,,Southern Altai
amh,am,Amharic
ang,,"English, Old (ca.450-1100)"
anp,,Angika
apa,,Apache languages
ara,ar,Arabic
arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)
arg,an,Aragonese
arm (B),hy,Armenian
hye (T),,
arn,,Mapudungun; Mapuche
arp,,Arapaho
art,,Artificial languages
arw,,Arawak
asm,as,Assamese
ast,,Asturian; Bable; Leonese; Asturleonese
ath,,Athapascan languages
aus,,Australian languages
ava,av,Avaric
ave,ae,Avestan
awa,,Awadhi
aym,ay,Aymara
aze,az,Azerbaijani
bad,,Banda languages
bai,,Bamileke languages
bak,ba,Bashkir
bal,,Baluchi
bam,bm,Bambara
ban,,Balinese
baq (B),eu,Basque
eus (T),,
bas,,Basa
bat,,Baltic languages
bej,,Beja; Bedawiyet
bel,be,Belarusian
bem,,Bemba
ben,bn,Bengali
ber,,Berber languages
bho,,Bhojpuri
bih,bh,Bihari languages
bik,,Bikol
bin,,Bini; Edo
bis,bi,Bislama
bla,,Siksika
bnt,,Bantu languages
tib (B),bo,Tibetan
bod (T),,
bos,bs,Bosnian
bra,,Braj
bre,br,Breton
btk,,Batak languages
bua,,Buriat
bug,,Buginese
bul,bg,Bulgarian
bur (B),my,Burmese
mya (T),,
byn,,Blin; Bilin
cad,,Caddo
cai,,Central American Indian languages
car,,Galibi Carib
cat,ca,Catalan; Valencian
cau,,Caucasian languages
ceb,,Cebuano
cel,,Celtic languages
cze (B),cs,Czech
ces (T),,
cha,ch,Chamorro
chb,,Chibcha
che,ce,Chechen
chg,,Chagatai
chi (B),zh,Chinese
zho (T),,
chk,,Chuukese
chm,,Mari
chn,,Chinook jargon
cho,,Choctaw
chp,,Chipewyan; Dene Suline
chr,,Cherokee
chu,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
chv,cv,Chuvash
chy,,Cheyenne
cmc,,Chamic languages
cnr,,Montenegrin
cop,,Coptic
cor,kw,Cornish
cos,co,Corsican
cpe,,"Creoles and pidgins, English based"
cpf,,"Creoles and pidgins, French-based"
cpp,,"Creoles and pidgins, Portuguese-based"
cre,cr,Cree
crh,,Crimean Tatar; Crimean Turkish
crp,,Creoles and pidgins
csb,,Kashubian
cus,,Cushitic languages
wel (B),cy,Welsh
cym (T),,
cze (B),cs,Czech
ces (T),,
dak,,Dakota
dan,da,Danish
dar,,Dargwa
day,,Land Dayak languages
del,,Delaware
den,,Slave (Athapascan)
ger (B),de,German
deu (T),,
dgr,,Dogrib
din,,Dinka
div,dv,Divehi; Dhivehi; Maldivian
doi,,Dogri
dra,,Dravidian languages
dsb,,Lower Sorbian
dua,,Duala
dum,,"Dutch, Middle (ca.1050-1350)"
dut (B),nl,Dutch; Flemish
nld (T),,
dyu,,Dyula
dzo,dz,Dzongkha
efi,,Efik
egy,,Egyptian (Ancient)
eka,,Ekajuk
gre (B),el,"Greek, Modern (1453-)"
ell (T),,
elx,,Elamite
eng,en,English
enm,,"English, Middle (1100-1500)"
epo,eo,Esperanto
est,et,Estonian
baq (B),eu,Basque
eus (T),,
ewe,ee,Ewe
ewo,,Ewondo
fan,,Fang
fao,fo,Faroese
per (B),fa,Persian
fas (T),,
fat,,Fanti
fij,fj,Fijian
fil,,Filipino; Pilipino
fin,fi,Finnish
fiu,,Finno-Ugrian languages
fon,,Fon
fre (B),fr,French
fra (T),,
fre (B),fr,French
fra (T),,
frm,,"French, Middle (ca.1400-1600)"
fro,,"French, Old (842-ca.1400)"
frr,,Northern Frisian
frs,,Eastern Frisian
fry,fy,Western Frisian
ful,ff,Fulah
fur,,Friulian
gaa,,Ga
gay,,Gayo
gba,,Gbaya
gem,,Germanic languages
